count,track_name,timing,track_id,artist,album,acousticness,danceability,instrumentalness,liveness,loudness,tempo
1,Oncle Jazz,1,204t5SErksNRHRhU52g5JF,Men I Trust,Oncle Jazz,0.535,0.712,0.816,0.0813,-16.776,139.995
2,Mirage,1,1w327AHTCoChRIkJUprAnV,Orion Sun,A Collection of Fleeting Moments and Daydreams,0.87,0.683,0.673,0.108,-10.058,117.095
3,(dream),0,39iczvfNkZstM8KY8dNDFC,salvia palth,melanchole,0.926,0.328,0.825,0.118,-13.283,147.398
4,Précis,0,3s9YtjSkxeeriM92mASyoO,Vansire,Angel Youth,0.96,0.532,0.757,0.103,-13.284,80.998
5,cloud castle,1,6cSkQRxoJt6FHGrWVIGDTJ,Luna Li,jams EP,0.04,0.556,0.9,0.245,-6.731,83.9
6,Ante Meridiem,0,1Ktm8giomJp1Fb8EI39oHn,Men I Trust,Untourable Album,0.818,0.611,0.941,0.12,-15.318,138.01
7,Middle of Nowhere,1,52Td1R2HmvP5gevSgUaifx,Macabre Plaza,Remember Me? EP from Mp,0.0562,0.611,0.927,0.194,-6.064,105.788
8,Sandy Kim,1,70JkATjg7LzZ9HA22SmmcK,Acid Ghost,Vacation II,0.885,0.658,0.909,0.152,-7.837,132.986
9,January,0,2UxxDidNYPuTLiMNKBHMiK,Loving,If I Am Only My Thoughts,0.834,0.539,0.922,0.256,-7.281,106.14
10,From the Subway Train,1,0qOCy2LqvdkMora7eZsJhQ,Vansire,Angel Youth,0.527,0.392,0.015,0.217,-10.279,72.104
11,Hard to Let Go,0,7lKN7pik3CelVWHWGp6DfB,Men I Trust,Hard to Let Go,0.765,0.806,0.874,0.12,-14.927,141.903
12,mirror,1,20jwGZMmI7Cl9Kd5O8yJrQ,Luna Li,jams EP,0.0347,0.454,0.774,0.142,-7.338,69.816
13,Till the Wheels Fall Off,1,29ac5I0B0NierBqLwJgMkc,Macabre Plaza,Out With the Old in With the Taboo,0.0109,0.575,0.84,0.136,-10.767,120.028
14,If You Love Her,1,1MaDw1BQ797k8j7xXnH486,Tokyo Tea Room,If You Love Her,0.178,0.598,0.641,0.153,-8.088,90.062
15,I hope that you think of me,1,42LY6qYxu3L6nJ7Dt72gNy,Pity Party (Girls Club),Hard Times / Bad Trips,0.0625,0.845,6.41E-05,0.108,-9.857,105
16,Sugar,1,2joEpsXflccZD0ZwKEdz5m,Men I Trust,Untourable Album,0.647,0.823,0.327,0.14,-12.75,114.026
17,Cracking,0,3VwgtTh9D0CubY32jdhI5U,Crumb,Jinx,0.39,0.635,0.783,0.0993,-11.621,121.951
18,daydream,1,1t0faf8iw1XbaJ0yznpPcB,Luna Li,jams 2,0.349,0.44,0.973,0.412,-9.889,86.809
19,A Devil's Touch in the Midwest,1,0W2CHYtNLuEBJCCuqOona7,Macabre Plaza,An Old Smile,0.754,0.482,0.847,0.102,-15.798,159.287
20,Précis Two,0,5LiO40bi3foQNkIDg4PlGV,Vansire,After Fillmore County,0.602,0.607,0.706,0.599,-11.963,121.485
21,"Say, Can You Hear",1,7JvjjlZ5R1I1xRDsEkPuJ7,Men I Trust,"Say, Can You Hear",0.78,0.623,0.763,0.11,-14.1,157.912
22,Estrangers,1,6ZyJiCgtPz0gJrhubGLkud,No Vacation,Estrangers,0.31,0.567,0.875,0.218,-6.421,122.018
23,welcome and goodbye,0,00RLNHc2jkEjUoCUlFgPVT,"Dream, Ivory",welcome and goodbye,0.0194,0.584,0.756,0.0739,-5.175,140.031
24,Misery Moon,0,5EwRVuWJpNNMYM4UkT561o,Luna Li,Duality,0.819,0.797,0.23,0.108,-12.42,119.78
25,Abandoned Plaza,1,49Q4EjrGxgllOt6jXJPfeI,Macabre Plaza,Out With the Old in With the Taboo,0.00853,0.513,0.78,0.0912,-7.575,154.038
26,Always Lone,1,5zYDxzEPmchIgpULm0QgJA,Men I Trust,Untourable Album,0.7,0.587,0.757,0.165,-10.726,83.406
27,C U Girl,1,6FBzhcfgGacfXF3AmtfEaX,Steve Lacy,C U Girl,0.663,0.414,0.0523,0.128,-8.911,100
28,Pistol,0,2nD9CUfMMUVxL0UyFs8fGG,Cigarettes After Sex,Pistol,0.519,0.651,0.708,0.0959,-11.74,109.979
29,rises the moon,0,51Grh1RyUDcMBbpuyUIUHI,Liana Flores,recently,0.947,0.483,0.145,0.106,-20.149,137.35
30,2516,1,0R6sz2EUOMSM3qaZHEpG63,Luna Li,jams EP,0.0551,0.514,0.824,0.195,-5.562,89.984
31,All Night,0,0XvoMOI25j4wODyk8nuANS,Men I Trust,Oncle Jazz,0.732,0.795,0.899,0.0893,-13.354,146.003
32,Think it Through,1,6Vb1cXiRAFJRNQy0pTNsRE,Vansire,The Modern Western World,0.549,0.658,0.0897,0.109,-10.089,158.494
33,Some,1,4riDfclV7kPDT9D58FpmHd,Steve Lacy,Some,0.00548,0.784,0.254,0.0995,-6.417,104.01
34,You're All I Want,0,4nvLuqwTOZdEJI1fcHXv8h,Cigarettes After Sex,You're All I Want,0.363,0.233,0.828,0.113,-10.947,182.161
35,The Bug Collector,0,5nVE45ithgyVocZp5XLAk6,Haley Heynderickx,I Need to Start a Garden,0.777,0.538,0.329,0.0967,-9.705,99.622
