,artist,album,track_name,track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,tempo,valence
0,Fabrizio Paterlini,Fifth,Fifth,42cd6z8jhsKWx5So4pKJ7k,0.992,0.473,0.0149,0.799,0.0859,-30.86,127.28,0.295
1,Stephen Rennicks,Normal People (Original Score from the Television Series),Supermarket,7fTsKBsnYyk0IG0zVNduEM,0.996,0.0,0.00097,0.595,0.1,-32.82,0.0,0.0
2,Sylvain Chauveau,Des Plumes Dans La Tête,Ferme Les Yeux,1Kb2DqjHRvOcT5xeWtz3t5,0.994,0.0,0.0323,0.973,0.0922,-23.636,0.0,0.0
3,Yehezkel Raz,"Preludes, Book 1 - Streams",Breath In,2ds4sKFAQHeO1Nu6YFKvBP,0.994,0.312,0.0429,0.921,0.088,-36.733,77.806,0.0371
4,SYML,You Knew It Was Me,In Between Breaths,5R7hEGK5lppKriOzmQZd6v,0.994,0.467,0.118,0.933,0.081,-16.997,179.694,0.142
5,Borrtex,Reflections,Back in Time,6KVyd6WJOcjvr0HVKWfHa6,0.994,0.523,0.0991,0.906,0.0915,-26.471,159.892,0.277
6,Melodrama,Wounded Heart,Sorrow and Bliss,1aEOhvZOwZDlZMzJgKlwve,0.987,0.556,0.161,0.77,0.115,-15.879,130.059,0.195
7,Mercuzio Pianist,I Just Want You (From 'Castle'),I Just Want You - From 'Castle',0EnJ7hwoixkSPHQHMDAsQ5,0.99,0.699,0.18,0.836,0.0649,-22.361,129.775,0.268
8,Jordan Seigel,Half Brothers (Original Motion Picture Soundtrack),Eloise,3qkJHyJmdBB6WRjF3RiaA0,0.841,0.293,0.161,0.902,0.098,-21.534,56.401,0.0386
9,Fabrizio Paterlini,Transitions II,Distractions,4Ks0OfgQpb58nHvQrcaiPi,0.99,0.123,0.0358,0.945,0.098,-38.528,114.425,0.0399
10,Daprinski,Chorégraphies de l'ordinaire (Instrumentals),Chorégraphie du départ - Instrumental,483q7jVbT1sTIOEopqahEc,0.883,0.0,0.173,0.914,0.0957,-16.055,0.0,0.0
11,Yehezkel Raz,"Preludes, Book 2 - Torrents",Milestone,3SZQKspfgztDJDhghzJT3f,0.985,0.118,0.093,0.961,0.0966,-36.502,182.072,0.365
12,Melodrama,Wounded Heart,Mood Effects,2huiZlrSjqdehvqdwL4kbW,0.984,0.463,0.219,0.877,0.0951,-15.739,124.015,0.0683
13,Alexei Surovykh,Morning Light,Morning Light,1TlLiTOmPm9TRTjLXvzNKY,0.966,0.23,0.126,0.853,0.111,-22.94,193.495,0.277
14,Fabrizio Paterlini,Transitions,Istanbul Wedding,3jr9gtpaDA4XFdDSqRpPZk,0.995,0.376,0.0221,0.949,0.117,-33.177,116.149,0.253
15,Patrick Watson,Ode to Vivian (Rework),Ode to Vivian - Rework,18oB9NlhCMSzlte5KAj5tl,0.973,0.451,0.023,0.915,0.104,-29.372,132.813,0.226
16,Luca Longobardi,Van Gogh - La Nuit Étoilée,Elegie II - Reprise,5EMhyZeaCTTJqLClaZpga7,0.988,0.408,0.0326,0.945,0.0815,-26.595,103.918,0.332
17,Yehezkel Raz,"Preludes, Book 2 - Torrents",Emerald,5X2vI0gKaCrTQ7RFmSpPeQ,0.994,0.293,0.0232,0.93,0.115,-35.27,146.479,0.0329
18,Melodrama,Wounded Heart,Escape To Solitude,0B7I8htX6hH1dvo7witFQD,0.995,0.455,0.136,0.928,0.11,-19.676,139.999,0.349
19,Fabrizio Paterlini,Transitions III,"Home, at Last",0PPrNdftcnEy8Hso2iQ5uL,0.983,0.346,0.0534,0.941,0.0787,-35.359,82.161,0.0671
20,Sleeping At Last,Many Beautiful Things (Original Motion Picture Soundtrack),The Mentor,5EME2V1E9ZCEBWr1Br0I0x,0.994,0.58,0.0609,0.953,0.104,-24.587,139.87,0.122
21,Norman Dück,By Your Side,Reframe,67ksXATAe92UP1mwod4e3s,0.99,0.319,0.0367,0.942,0.102,-29.23,138.784,0.0556
22,Mercuzio Pianist,"Hidden Gems, Vol. 1","J'y suis jamais allé - Theme from ""Amelie""",1tjYTA591mOo8jnAlk7T65,0.964,0.517,0.41,0.924,0.119,-17.598,105.034,0.317
23,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),Epilogue,47DeTufpEGrePu6TaVEuoN,0.989,0.252,0.0875,0.873,0.108,-24.711,135.774,0.126
24,Melodrama,Wounded Heart,Misery,1aSYjufU8PNmUvHibsngcx,0.991,0.601,0.13,0.927,0.12,-20.653,113.958,0.463
25,Fabrizio Paterlini,Transitions III,Leafs' Dance,6HZroTm8ScgYCelR3Bg8le,0.979,0.343,0.019,0.953,0.0962,-37.526,100.595,0.126
26,Yehezkel Raz,"Preludes, Book 2 - Torrents",Behind Every Decision,2kbruQXVXFmxxm4l75zuwy,0.995,0.235,0.00362,0.79,0.0956,-37.822,69.677,0.0885
27,James Heather,Modulations: EP2,Happy Tears,5qoxaTocADLacguJtCaGU7,0.993,0.277,0.0278,0.922,0.109,-27.299,68.3,0.196
28,Woodsman,dream river. (Async Ross reworks),dream river.,1Gdcsjq1KpDyqaHvnBr7u1,0.969,0.252,0.13,0.876,0.105,-26.619,140.779,0.0775
29,Jacob LaVallee,Perpetual Motion,Perpetual Motion,5z0OIg2MtPXnjo2XnKn69V,0.993,0.405,0.161,0.947,0.11,-21.851,117.147,0.343
30,Melodrama,Wounded Heart,Gloomy Night,38Mh3KBXS95kSJTar6dI9l,0.991,0.395,0.16,0.899,0.128,-16.831,216.019,0.433
